Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,5000,46.15064477920532,,,,0.0
0/20,1/20,100,10000,56.099953174591064,7.428195491433144,0.26314731361344457,4.020304828882217,0.0
0/20,2/20,150,15000,87.80838680267334,644.5377528071404,5.765145039651543,26.874899424612522,0.0
0/20,3/20,200,20000,96.930349111557,1103.3885542750359,19.49852014053613,22.16201032185927,0.0
0/20,4/20,250,25000,99.24003648757935,1430.604911327362,32.15686734486371,35.363242991268635,0.0
0/20,5/20,300,30000,93.09301948547363,1780.388123869896,38.56690410524607,50.13839947525412,0.0
0/20,6/20,350,35000,97.03257131576538,2094.791881084442,49.357705488801,65.59394758194685,0.0
0/20,7/20,400,40000,93.8216826915741,2264.307468652725,54.97095366567373,78.13775948807597,0.0
0/20,8/20,450,45000,97.27921843528748,2344.4853987693787,59.824789341539145,94.67683708295226,0.0
0/20,9/20,500,50000,93.73532509803772,2387.9569860696793,63.264580845832825,100.79300995543599,0.0
0/20,10/20,550,55000,94.13751149177551,2423.3378182649612,67.23675172030926,105.9692643918097,0.0
0/20,11/20,600,60000,96.80972528457642,2420.218583345413,70.28995244204998,124.27761832252145,0.0
0/20,12/20,650,65000,97.06115484237671,2418.3792774677277,76.27819810435176,136.53183173015714,0.0
0/20,13/20,700,70000,96.24834680557251,2432.726124882698,82.72705832496285,151.17935909330845,0.0
0/20,14/20,750,75000,96.91772222518921,2410.4797018766403,81.58401161059737,171.10389286279678,0.0
0/20,15/20,800,80000,93.82591676712036,2386.6237312555313,84.2506283968687,175.3290502279997,0.0
0/20,16/20,850,85000,96.67223453521729,2337.5757133960724,83.03605163097382,169.67657179012895,0.0
0/20,17/20,900,90000,94.56422209739685,2252.12708234787,84.30893020704389,167.48528945073485,0.0
0/20,18/20,950,95000,97.74120903015137,2214.7855929136276,81.52900775149465,157.5257423967123,0.0
0/20,19/20,1000,100000,94.91290092468262,2186.1056513786316,80.06520910933614,161.0576272085309,0.0
1/20,0/20,1050,105000,93.94828939437866,2145.384097933769,80.69334456324577,162.83199166879058,0.0
1/20,1/20,1100,110000,94.72591972351074,2079.854982972145,81.07920650020242,164.40250298380852,0.0
1/20,2/20,1150,115000,90.73513650894165,2073.5155687332153,82.50720744207501,166.00649575144053,0.0
1/20,3/20,1200,120000,94.78477025032043,2056.12840282917,80.13474253937602,169.17045439779758,0.0
1/20,4/20,1250,125000,98.03117394447327,2018.8269710540771,81.04694842174649,146.57861246913671,0.0
1/20,5/20,1300,130000,100.20556306838989,2006.4946955442429,79.52451717853546,155.7083525620401,0.0
1/20,6/20,1350,135000,96.83862566947937,1974.5548745393753,79.75214638188481,159.72755878046155,0.0
1/20,7/20,1400,140000,97.91518688201904,1930.0478573441505,81.13582342118025,160.3630034700036,0.0
1/20,8/20,1450,145000,97.98317527770996,1904.4134984016418,82.39171264693141,157.86761885508895,0.0
1/20,9/20,1500,150000,96.80696058273315,1921.0777084827423,80.43676621466875,153.2102761976421,0.0
1/20,10/20,1550,155000,98.0424370765686,1897.8678020238876,78.44227412715554,139.02285893261433,0.0
1/20,11/20,1600,160000,100.23479890823364,1868.4222849011421,76.67631116136909,148.2381296157837,0.0
1/20,12/20,1650,165000,101.14665055274963,1882.4019339084625,77.2943784892559,152.1541393660009,0.0
1/20,13/20,1700,170000,99.78226113319397,1839.0511286258698,77.69170841947198,159.70496568456292,0.0
1/20,14/20,1750,175000,101.0033073425293,1794.4404224157333,79.74733305349946,155.78588154539466,0.0
1/20,15/20,1800,180000,98.38521599769592,1782.772037744522,77.77156138047576,140.4158341549337,0.0
1/20,16/20,1850,185000,97.0299985408783,1780.059619486332,76.3944905847311,139.18700179830194,0.0
1/20,17/20,1900,190000,97.51704335212708,1746.856328010559,75.49141835793853,143.87303363531828,0.0
1/20,18/20,1950,195000,97.20178771018982,1724.0089417696,74.27720975130796,142.53787183761597,0.0
1/20,19/20,2000,200000,96.21734380722046,1746.8319767713547,74.76821469888091,140.89544315636158,0.0
2/20,0/20,2050,205000,95.35090661048889,1749.2151781320572,71.54011920839548,144.82751344144344,0.0
2/20,1/20,2100,210000,96.2312695980072,1794.4237682819366,72.74505776539445,148.1502826139331,0.0
2/20,2/20,2150,215000,97.72244715690613,1796.6922330260277,72.79035567492247,147.16241901740432,0.0
2/20,3/20,2200,220000,98.37339735031128,1791.8542144298553,70.99283666536212,141.90015871450305,0.0
2/20,4/20,2250,225000,98.61148452758789,1793.941045165062,71.56746332719922,145.048186250031,0.0
2/20,5/20,2300,230000,93.2385904788971,1804.6421500444412,72.05140947178006,143.15039191767573,0.0
2/20,6/20,2350,235000,94.22178339958191,1817.6825271844864,69.66576293110847,147.4150727763772,0.0
2/20,7/20,2400,240000,98.41711378097534,1798.4232413768768,69.76424743235111,145.89372843131423,0.0
2/20,8/20,2450,245000,97.27390122413635,1817.296387910843,69.09150307625532,150.58461981266737,0.0
2/20,9/20,2500,250000,99.84589982032776,1797.0701143741608,70.92260225117207,141.08716823160648,0.0
2/20,10/20,2550,255000,98.64538168907166,1764.539441227913,69.67161643505096,144.8147441856563,0.0
2/20,11/20,2600,260000,97.61179995536804,1773.2330473065376,70.17931377887726,154.06807959079742,0.0
2/20,12/20,2650,265000,99.59598112106323,1735.0864140987396,69.98382592201233,150.15007267147303,0.0
2/20,13/20,2700,270000,100.59596180915833,1739.8132860064507,71.63345259428024,148.6313776113093,0.0
2/20,14/20,2750,275000,98.70716428756714,1748.3727004528046,68.62891142070293,150.9818422012031,0.0
2/20,15/20,2800,280000,102.432377576828,1744.4246752262115,68.44262337684631,155.37240358814597,0.0
2/20,16/20,2850,285000,102.1846272945404,1772.3356031179428,69.09549015387893,155.46543241292238,0.0
2/20,17/20,2900,290000,100.28587985038757,1750.8292158842087,68.44763772934675,140.74926862493157,0.0
2/20,18/20,2950,295000,97.64372873306274,1759.9077209234238,68.79708576202393,158.63139827176929,0.0
2/20,19/20,3000,300000,98.03444385528564,1781.2743782401085,69.77503307163715,154.72452760860324,0.0
3/20,0/20,3050,305000,96.42812824249268,1758.9014967679977,69.2820662111044,159.28053391724825,0.0
3/20,1/20,3100,310000,97.52590775489807,1786.1235395669937,67.4553256854415,153.75002295151353,0.0
3/20,2/20,3150,315000,97.22568964958191,1789.625069618225,65.5081792101264,160.017752610147,0.0
3/20,3/20,3200,320000,97.92307209968567,1830.7864390611649,68.35628294944763,166.39891047403216,0.0
3/20,4/20,3250,325000,97.5989511013031,1823.95230615139,66.99886706098914,157.12079818546772,0.0
3/20,5/20,3300,330000,98.31280612945557,1841.423590540886,68.89825830236077,165.04604603722692,0.0
3/20,6/20,3350,335000,95.86222457885742,1798.0869038701057,67.43027096614242,151.97409399971366,0.0
3/20,7/20,3400,340000,96.93631601333618,1815.9696983098984,67.01917370036244,163.38280338793993,0.0
3/20,8/20,3450,345000,97.85321760177612,1790.603970170021,66.36777250096202,162.38881212845445,0.0
3/20,9/20,3500,350000,101.57028532028198,1760.837639451027,67.20525440201163,159.2456670217216,0.0
3/20,10/20,3550,355000,95.33410620689392,1750.4829030632973,68.01153898611665,152.60645681619644,0.0
3/20,11/20,3600,360000,92.3659987449646,1759.8855575323105,68.31772956252098,165.30284229293466,0.0
3/20,12/20,3650,365000,94.33800649642944,1745.0292662382126,67.65343294665217,160.6293626986444,0.0
3/20,13/20,3700,370000,93.62354779243469,1709.5090585947037,67.57944959402084,159.9054403938353,0.0
3/20,14/20,3750,375000,93.41328382492065,1694.402831375599,68.80859652161598,167.39926095306873,0.0
3/20,15/20,3800,380000,92.71070575714111,1683.857315003872,67.84864962100983,153.52193162590265,0.0
3/20,16/20,3850,385000,93.16463351249695,1668.0195887088776,69.48655429109931,174.85258835926652,0.0
3/20,17/20,3900,390000,92.18979692459106,1638.3377595543861,67.48651447892189,153.7349600866437,0.0
3/20,18/20,3950,395000,96.44920420646667,1634.5641065239906,66.26815720647573,160.24897246435285,0.0
3/20,19/20,4000,400000,100.41070914268494,1572.135198533535,65.12871778383851,144.78974159806967,0.0
4/20,0/20,4050,405000,99.64083766937256,1559.4587824940681,65.33450819179416,154.47786914929748,0.0
4/20,1/20,4100,410000,100.55258417129517,1583.8925586938858,64.87434186413884,148.39393262937665,0.0
4/20,2/20,4150,415000,95.51938915252686,1583.5647724866867,64.37264924123883,156.1941686347127,0.0
4/20,3/20,4200,420000,98.68187689781189,1587.8369470834732,64.40375198051333,157.11061191931367,0.0
4/20,4/20,4250,425000,97.33676171302795,1584.3793159127235,64.2258016616106,158.01156545430422,0.0
4/20,5/20,4300,430000,99.06975412368774,1565.8007389307022,63.58309482038021,148.20849675312638,0.0
4/20,6/20,4350,435000,98.9059784412384,1550.2889721393585,64.17841028049588,147.61874071136117,0.0
4/20,7/20,4400,440000,101.09671807289124,1555.2418236136436,63.09244600310922,141.73858799040318,0.0
4/20,8/20,4450,445000,99.90396022796631,1572.566993355751,63.83099480345845,148.05645484477282,0.0
4/20,9/20,4500,450000,99.66503071784973,1583.0301736593246,62.62284595519304,141.76599864289165,0.0
4/20,10/20,4550,455000,101.94472646713257,1577.3413372039795,63.0405812934041,150.03215220198035,0.0
4/20,11/20,4600,460000,99.14833784103394,1571.4892647266388,61.975428987294436,141.8793969359249,0.0
4/20,12/20,4650,465000,100.02461314201355,1616.0239616036415,62.61649587005377,143.56039736419916,0.0
4/20,13/20,4700,470000,100.19945073127747,1627.8226324915886,61.936786130070686,141.26606879383326,0.0
4/20,14/20,4750,475000,97.37902426719666,1619.361272096634,63.0092809535563,143.16722608730197,0.0
4/20,15/20,4800,480000,98.52637934684753,1626.6774318218231,63.2580849416554,140.53188958577812,0.0
4/20,16/20,4850,485000,99.01691842079163,1629.5423333644867,62.7320822365582,144.8960324600339,0.0
